log_name,SCF_energy(Hartree),∆G(Hartree),∆G(kcal/mol),e^(-∆G/RT),Mole Fraction,Unnamed: 0,Unnamed: 0.1,HOMO,LUMO,η,μ,ω,dipole(Debye),NBO_charge_Cl1,NBO_charge_Cl2,NBO_charge_P1,NBO_charge_P2,NBO_charge_Pd,NMR_shift_P1,NMR_shift_P2,aniso_NMR_shift_P1,aniso_NMR_shift_P2,distance_Pd_Cl1(Å),distance_Pd_Cl2(Å),distance_Pd_P1(Å),distance_Pd_P2(Å),%Vbur_Pd_3Å,%Vbur_Pd_4Å,%Vbur_Pd_5Å,%Vbur_Pd_6Å,%Vbur_Pd_7Å,Bite_angle_Pd(°),%G_param_Pd,Solid_angle_Pd(sr),Solid_cone_angle_Pd(°),volume(Bohr_radius³/mol),SASA_Pd_surface_area(Å²),CPU_time_total(hours),Wall_time_total(hours)
Boltzmann Averages,-2437.6677616158345,,,,,1.7549609405893196,1.7549609405893196,-0.23622493915876774,-0.057584423839732155,0.17864051531903558,-0.14690468149924993,0.06040708089668569,11.12526331412286,-0.589800058527897,-0.5941076426933528,1.0853707958989751,1.0721091088442036,0.3099363327682497,183.13254621482545,191.2557281319425,162.3520996119128,155.82537937640933,2.3794023973657707,2.3775696792411503,2.2517648540218125,2.2544960329066,56.84179543309055,59.556335947747236,55.88386876656899,44.60719609917518,30.664837305468613,88.73635873227303,57.887146598643675,7.274313379662974,198.15552507229404,3584.6455077291043,29.794835439743267,39.79801,2.04568611111111
Boltzmann Standard Deviation,0.0010950581852972785,,,,,2.804632843808317,2.804632843808317,0.0002011408245648019,0.0005854675421314944,0.00046997010844911525,0.0003693195924793815,0.00044846325626970486,0.055189544905773394,0.0018957092432657309,0.003586221591667696,0.010903066590490944,0.005712184400577709,0.0025653796766894445,5.22095778622047,3.633689504121186,5.219590639433487,6.436088986632221,0.0017327520277598937,0.002874699099526357,0.004469437546050482,0.004602259320019516,1.252697701341659,0.999423848808562,1.17925178653732,0.529355902734731,0.015255413143803895,0.3212380778697255,1.0347102176743321,0.13002552073759685,2.40360506850643,92.26627797627589,0.7896399159889087,,
Ensemble Minimum,-2437.66852936,,,,,0.0,0.0,-0.23654,-0.05947,0.17597,-0.14751,0.0601,11.0024,-0.59771,-0.59662,1.06926,1.05346,0.30568,176.1639,164.577,147.6468,133.0689,2.376,2.37568,2.24878,2.24595,55.8989496424315,58.8072590155794,54.980724354325,44.1999637171754,30.5719616538486,88.2494735250885,57.0985198153748,7.17521161531331,196.323761338067,3245.217,27.7596465578731,,
Ensemble Maximum,-2437.66391619,,,,,9.0,9.0,-0.23544,-0.05718,0.17898,-0.14667,0.06178,11.276,-0.5877,-0.58506,1.09362,1.082,0.31186,195.3929,193.0211,166.5347,169.3077,2.38183,2.38419,2.25919,2.25919,58.6319278903457,61.0006362112842,57.4987780265523,45.2930971926164,30.6774192630207,89.6033522607822,59.334712716855,7.4562199029653,201.519854340317,3797.589,31.0996040327757,,
Ensemble Range,0.00461317000008421,,,,,9.0,9.0,0.0010999999999999899,0.0022900000000000004,0.0030100000000000127,0.0008400000000000074,0.001680000000000001,0.27360000000000007,0.010009999999999963,0.011560000000000015,0.024359999999999937,0.02854000000000001,0.006180000000000019,19.228999999999985,28.44409999999999,18.887899999999973,36.2388,0.005830000000000002,0.008509999999999796,0.010409999999999808,0.013239999999999696,2.732978247914197,2.193377195704805,2.5180536722273033,1.0931334754410003,0.1054576091720989,1.3538787356936979,2.2361929014802016,0.28100828765199015,5.196093002250024,552.3719999999998,3.339957474902601,,
Lowest E Conformer,-2437.66852936,0.0,0.0,1.0,0.5959941235929754,0.0,0.0,-0.23616,-0.05718,0.17898,-0.14667,0.0601,11.1429,-0.58875,-0.59662,1.09362,1.06815,0.31186,181.642,193.0211,166.2682,152.1343,2.38014,2.37568,2.24881,2.25708,55.8989496424315,58.8072590155794,54.980724354325,44.1999637171754,30.6688090263744,88.5680398146854,57.0985198153748,7.17521161531331,196.323761338067,3591.384,30.279614473069,38.98161,2.00316666666667
pp000085-Pd_1_SPE,-5381.60511761,0.07288763999986259,45.73699409991377,2.982265560560398e-34,2.982265560560398e-34,10.0,10.0,-0.16688,-0.06947,0.09741,-0.118175,0.07168,9.8226,-0.55147,-0.55147,1.05217,1.05213,0.34002,390.5933,390.6229,163.7447,163.7785,2.37408,2.37411,2.31604,2.31604,61.9832017282479,65.3637266463907,62.766074863612,52.8090843122137,38.2277428940642,104.596645196599,63.8150565016712,8.01923650776271,212.079136056876,4337.869,23.3997020696769,152.989,7.81147222222222
pp000085-Pd_2_SPE,-5381.60895701,0.06904823999957443,43.32777059973296,1.7398813129470367e-32,1.7398813129470367e-32,11.0,11.0,-0.16576,-0.07181,0.09395,-0.118785,0.07509,9.8873,-0.55653,-0.55499,1.054,1.07076,0.34089,399.6172,414.8672,165.2437,185.307,2.37498,2.37305,2.30731,2.3095,60.7885131108463,64.2565638383713,60.993622086973,51.7973604245091,38.2601913891941,103.761629934202,62.6929810600032,7.87823234919,209.412045726227,4174.742,24.2096917567041,167.86967,8.58344444444444
pp000085-Pd_3_SPE,-5381.5708903,0.10711494999941351,67.21463112463198,5.386753170270816e-50,5.386753170270816e-50,12.0,12.0,-0.16506,-0.07446,0.0906,-0.11976,0.07915,9.9465,-0.56031,-0.56032,1.07739,1.07738,0.34064,425.4295,425.4524,197.3649,197.398,2.37402,2.37405,2.29978,2.29979,59.2641910011919,62.9321581528148,59.0341285358393,50.8426686017507,38.303029095484,102.651251234198,60.9899729428617,7.66422603759738,205.394509051133,4566.181,24.7696846267477,148.59086,7.59030555555556
pp000085-Pd_4_SPE,-5381.59474316,0.08326209000006202,52.246961475038916,5.0432034935784174e-39,5.0432034935784174e-39,13.0,13.0,-0.1653,-0.07366,0.09164,-0.11948,0.07789,10.0305,-0.55215,-0.56051,1.07997,1.0448,0.33844,421.6512,390.593,194.4978,198.5585,2.37227,2.37485,2.30178,2.31333,59.494189511323,62.890261312147,60.0828576834537,51.401764252347,38.2497310190535,103.009741900235,61.4833678179214,7.72622786618964,206.554976846479,4470.886,26.1096675657805,150.01439,7.66097222222222
pp000085-Pd_5_SPE,-5381.67800525,0.0,0.0,1.0,1.0,14.0,14.0,-0.16567,-0.07192,0.09375,-0.118795,0.07527,9.9627,-0.55558,-0.54983,1.04127,1.06066,0.33704,384.2089,400.6797,191.6746,168.3225,2.37474,2.37278,2.32185,2.3077,61.7951057806913,64.6002731053318,62.0815726404087,52.0805932241825,38.1838378030661,104.017702551695,63.1863759350629,7.94023417778226,210.582710920025,3930.071,24.8496836081825,153.75408,7.85102777777778
pp000085-Pd_6_SPE,-5381.55161441,0.12639083999965806,79.31025209978543,7.331185710374251e-59,7.331185710374251e-59,15.0,15.0,-0.16977,-0.07548,0.09429,-0.122625,0.07974,9.1836,-0.54729,-0.55581,1.0496,1.03409,0.34167,384.2089,400.6797,191.6746,168.3225,2.37954,2.37996,2.31393,2.32931,61.7234058402861,64.19216684253,61.2056936078963,51.4290897546374,38.0379618929427,105.240968894372,62.3905777494827,7.84023122843991,208.696097974202,4512.464,23.889695830965,144.9205,7.40555555555556
Boltzmann Averages,-5381.67800525,,,,,14.0,14.0,-0.16567,-0.07192,0.09375,-0.118795,0.07527,9.9627,-0.55558,-0.54983,1.04127,1.06066,0.33704,384.2089,400.6797,191.6746,168.3225,2.37474,2.37278,2.32185,2.3077,61.7951057806913,64.6002731053318,62.0815726404087,52.0805932241825,38.1838378030661,104.017702551695,63.1863759350629,7.94023417778226,210.582710920025,3930.071,24.8496836081825,153.0230833333333,7.81712962962963
Boltzmann Standard Deviation,1.0071902196895961e-17,,,,,4.400376548960329e-16,4.400376548960329e-16,2.6326364978511764e-20,4.8997703746961716e-20,7.502718413212167e-20,1.1817641178748577e-20,7.272410748355816e-20,1.1212599348508257e-17,1.577599226280975e-19,7.462357731267605e-19,1.8509353228471053e-18,1.4682861145669934e-18,5.591518097311206e-19,2.229685495026285e-15,2.0588207504948734e-15,3.8554875692194106e-15,2.455667984084484e-15,3.6858267330203373e-20,4.6423201635841927e-20,2.1038193606899387e-18,3.042018568696778e-19,1.454904391968063e-16,5.1721562658044573e-17,1.577350469115144e-16,4.3183579847982894e-17,1.1063872076445077e-17,3.858795696949676e-17,7.227801728778156e-17,9.082723525093766e-18,1.7150704543168783e-16,3.618547378250728e-14,9.645757053669742e-17,,
Ensemble Minimum,-5381.67800525,,,,,10.0,10.0,-0.16977,-0.07548,0.0906,-0.122625,0.07168,9.1836,-0.56031,-0.56051,1.04127,1.03409,0.33704,384.2089,390.593,163.7447,163.7785,2.37227,2.37278,2.29978,2.29979,59.2641910011919,62.890261312147,59.0341285358393,50.8426686017507,38.0379618929427,102.651251234198,60.9899729428617,7.66422603759738,205.394509051133,3930.071,23.3997020696769,,
Ensemble Maximum,-5381.55161441,,,,,15.0,15.0,-0.16506,-0.06947,0.09741,-0.118175,0.07974,10.0305,-0.54729,-0.54983,1.07997,1.07738,0.34167,425.4295,425.4524,197.3649,198.5585,2.37954,2.37996,2.32185,2.32931,61.9832017282479,65.3637266463907,62.766074863612,52.8090843122137,38.303029095484,105.240968894372,63.8150565016712,8.01923650776271,212.079136056876,4566.181,26.1096675657805,,
Ensemble Range,0.12639083999965806,,,,,5.0,5.0,0.004709999999999992,0.0060100000000000015,0.006809999999999997,0.004449999999999996,0.008060000000000012,0.8468999999999998,0.01301999999999992,0.010679999999999912,0.03870000000000018,0.04329000000000005,0.0046299999999999675,41.22059999999999,34.859399999999994,33.62020000000001,34.78,0.00727000000000011,0.007179999999999964,0.022069999999999812,0.029520000000000213,2.719010727056002,2.4734653342437056,3.7319463277726967,1.9664157104629965,0.265067202541303,2.589717660174003,2.825083558809503,0.35501047016532983,6.684627005742982,636.1099999999997,2.709965496103603,,
Lowest E Conformer,-5381.67800525,0.0,0.0,1.0,1.0,14.0,14.0,-0.16567,-0.07192,0.09375,-0.118795,0.07527,9.9627,-0.55558,-0.54983,1.04127,1.06066,0.33704,384.2089,400.6797,191.6746,168.3225,2.37474,2.37278,2.32185,2.3077,61.7951057806913,64.6002731053318,62.0815726404087,52.0805932241825,38.1838378030661,104.017702551695,63.1863759350629,7.94023417778226,210.582710920025,3930.071,24.8496836081825,153.75408,7.85102777777778
pp000091-Pd_10_SPE,-2774.28854929,0.005055510000147478,3.1723325250925427,0.004727851422166976,0.00036279954551046527,16.0,16.0,-0.23557,-0.06923,0.16634,-0.1524,0.06981,10.3978,-0.56056,-0.55507,1.08337,1.09283,0.30883,245.8785,255.4228,128.922,127.1272,2.36048,2.36623,2.27657,2.28178,54.9351907032181,55.2087859226615,50.3183043738766,42.1155154428772,32.7080830909184,94.873191377497,52.5306382301448,6.60119468608825,185.802274637503,4205.552,28.4996371361449,75.96167,3.88486111111111
pp000091-Pd_11_SPE,-2774.28854859,0.005056210000020656,3.1727717750129614,0.004724347638621541,0.0003625306768501917,17.0,17.0,-0.23557,-0.06923,0.16634,-0.1524,0.06981,10.3979,-0.55506,-0.56055,1.09281,1.08337,0.30883,255.4275,245.886,127.1145,128.9126,2.36624,2.36045,2.28179,2.27657,54.9044621573302,55.1878375023276,50.3147567090284,42.1109800898,32.7040270290272,94.8716998213984,52.5306382301448,6.60119468608825,185.802274637503,4411.729,28.5296367541829,66.2027,3.38391666666667
pp000091-Pd_12_SPE,-2774.29360396,8.400002116104588e-07,0.0005271001327855629,0.9991107524239966,0.07666842599886659,18.0,18.0,-0.23689,-0.06805,0.16884,-0.15247,0.06884,10.2676,-0.55458,-0.55464,1.09298,1.0929,0.30492,261.2039,261.2367,95.7977,95.8383,2.36419,2.36422,2.2788,2.27881,54.6912246722288,54.9186115076656,50.0415865157201,42.089663930337,32.7277941285302,96.7981391791362,51.8223778449785,6.51219206117356,184.177507633363,4272.434,27.7996460485905,65.37053,3.34161111111111
pp000091-Pd_13_SPE,-2774.28855069,0.005054109999946377,3.1714540249663514,0.0047348667891444025,0.0003633378813682856,19.0,19.0,-0.23557,-0.06923,0.16634,-0.1524,0.06981,10.3982,-0.56057,-0.55507,1.08336,1.09284,0.30883,245.8752,255.4168,128.9491,127.1233,2.36053,2.36623,2.27657,2.28176,54.943571215733,55.2111135249209,50.3252026110813,42.1182366547236,32.708936998685,94.8715453472496,52.4669743752984,6.59319445014086,185.656185268515,4246.747,28.5796361175797,68.87319,3.51916666666667
pp000091-Pd_14_SPE,-2774.2936048,0.0,0.0,1.0,0.07673666389122245,20.0,20.0,-0.23689,-0.06805,0.16884,-0.15247,0.06884,10.2673,-0.5546,-0.55461,1.09296,1.09294,0.30492,261.2112,261.2211,95.8078,95.8357,2.36422,2.36421,2.2788,2.2788,54.7163662097735,54.9290857178325,50.0498644003658,42.0956732731643,32.7305693287716,96.8016167570919,51.7985038994111,6.50919197269329,184.122756676815,4231.983,27.7196470671557,66.75772,3.411
pp000091-Pd_15_SPE,-2774.2885515,0.005053300000326999,3.170945750205192,0.004738930430214679,0.00036364971162727,21.0,21.0,-0.23557,-0.06923,0.16634,-0.1524,0.06981,10.3983,-0.55508,-0.56056,1.09281,1.08339,0.30884,255.4344,245.8821,127.0957,128.9137,2.36623,2.36047,2.28179,2.27655,54.9296036948749,55.183182297809,50.3151508940115,42.1124540795501,32.705307890677,94.8672850339831,52.4988063027216,6.59719456811455,185.729228788078,3999.497,28.5296367541829,66.18447,3.38305555555556
pp000091-Pd_16_SPE,-2774.28855192,0.005052880000221194,3.170682200138799,0.004741038877716765,0.0003638115068545699,22.0,22.0,-0.23556,-0.06922,0.16634,-0.15239,0.0698,10.3988,-0.55508,-0.56055,1.0928,1.08342,0.30883,255.4535,245.8866,127.0613,128.9029,2.36625,2.36042,2.28181,2.27652,54.9379842073897,55.1909409720067,50.3228375011826,42.112567463377,32.7049520957743,94.8650098827159,52.5067642845774,6.59819459760798,185.747490030841,3752.18,28.559636372221,66.04797,3.37622222222222
pp000091-Pd_17_SPE,-2774.28854912,0.00505568000016865,3.1724392001058277,0.004727000264210739,0.00036273423048845913,23.0,23.0,-0.23556,-0.06923,0.16633,-0.152395,0.06981,10.3983,-0.5551,-0.56056,1.09282,1.0834,0.30884,255.4246,245.8862,127.0964,128.9117,2.36629,2.36049,2.28175,2.27657,54.9193608462455,55.193268574266,50.3311153858283,42.1189169576852,32.7082965678601,94.8702294267409,52.4192264841636,6.58719427318032,185.546624292263,3504.577,28.5496364995416,68.25855,3.48786111111111
pp000091-Pd_18_SPE,-2774.28855197,0.0050528300002952165,3.1706508251852483,0.004741289945414918,0.000363830772952137,24.0,24.0,-0.23556,-0.06923,0.16633,-0.152395,0.06981,10.3988,-0.56054,-0.5551,1.08342,1.09281,0.30884,245.8842,255.4513,128.9155,127.0316,2.36044,2.36627,2.27653,2.28179,54.9286725268176,55.196759977655,50.3068730093658,42.1106399383192,32.7040270290272,94.8662180342193,52.5147222664332,6.5991946271014,185.765751419688,4824.084,28.5396366268623,68.16513,3.48255555555556
pp000091-Pd_19_SPE,-2774.29360262,2.1800001377414446e-06,0.0013679500864327565,0.9976938278453279,0.07655969593371408,25.0,25.0,-0.23689,-0.06805,0.16884,-0.15247,0.06884,10.2674,-0.55462,-0.55461,1.09294,1.09295,0.30493,261.2199,261.2231,95.7964,95.8155,2.36421,2.36421,2.27878,2.27877,54.718228545888,54.9302495189622,50.0510469553152,42.0887568597215,32.7354792984294,96.7992009584827,51.8144198631227,6.51119203168013,184.159257209121,3587.092,27.729646939835,66.08256,3.37744444444444
pp000091-Pd_1_SPE,-2774.28855298,0.005051820000062435,3.1700170500391778,0.004746364369424685,0.000364220167321816,26.0,26.0,-0.23556,-0.06922,0.16634,-0.15239,0.0698,10.399,-0.55508,-0.56055,1.0928,1.08341,0.30883,255.4533,245.8881,127.0572,128.9157,2.36624,2.36041,2.28181,2.27652,54.9342595351609,55.1882254360375,50.3177130964019,42.1167626649735,32.7108582911598,94.8632374581706,52.443100429731,6.59019436166059,185.601404139829,4329.393,28.5496364995416,66.32034,3.38980555555556
pp000091-Pd_20_SPE,-2774.29360066,4.140000328334281e-06,0.0025978502060297615,0.9956249293713485,0.07640093556689126,27.0,27.0,-0.23689,-0.06805,0.16884,-0.15247,0.06884,10.2674,-0.55461,-0.5546,1.09294,1.09294,0.30492,261.2198,261.212,95.7988,95.8059,2.36422,2.36421,2.27878,2.27877,54.7117103694875,54.9131804357271,50.0512440478068,42.1005487777224,32.734127277799,96.800797983155,51.8144198631227,6.51119203168013,184.159257209121,4030.448,27.7396468125144,66.90959,3.41897222222222
pp000091-Pd_21_SPE,-2774.29360324,1.5600003280269448e-06,0.0009789002058369078,0.9983491696927456,0.07660998468079322,28.0,28.0,-0.23689,-0.06805,0.16884,-0.15247,0.06884,10.2674,-0.5546,-0.55461,1.09295,1.0929,0.30493,261.2097,261.2236,95.8015,95.8284,2.36419,2.36423,2.27877,2.27881,54.6772571513707,54.9003786233009,50.0402068682792,42.0819538301057,32.7285768773162,96.7998797369344,51.8223778449785,6.51219206117356,184.177507633363,4030.434,27.7696464305524,66.66348,3.40702777777778
pp000091-Pd_22_SPE,-2774.28988093,0.0037238700001580582,2.3367284250991815,0.019371620631503515,0.0014865135414279555,29.0,29.0,-0.23502,-0.06737,0.16765,-0.151195,0.06818,10.2332,-0.57042,-0.54654,1.07883,1.11316,0.30969,250.8367,251.1313,124.0718,82.3758,2.3613,2.36516,2.27285,2.26989,53.8522422526818,54.6346440320278,50.7820630065277,42.4046442015511,32.8921002146155,95.2354267751473,52.1327391373548,6.55119321141707,184.889361462159,4068.627,32.2995887542976,68.80833,3.51527777777778
pp000091-Pd_23_SPE,-2774.29359944,5.360000159271294e-06,0.003363400099942737,0.9943393128324179,0.07630228164265035,30.0,30.0,-0.23689,-0.06806,0.16883,-0.152475,0.06885,10.2666,-0.5546,-0.5546,1.09294,1.09293,0.30493,261.2093,261.2189,95.7932,95.8164,2.36423,2.36421,2.27879,2.27879,54.6949493444577,54.9085252312085,50.0455283655514,42.1005487777224,32.7349811855655,96.8052308858233,51.8144198631227,6.51119203168013,184.159257209121,4070.73,27.7496466851937,66.55195,3.40083333333333
pp000091-Pd_24_SPE,-2774.29360133,3.470000137895113e-06,0.0021774250865291833,0.9963316719362084,0.07645516863354854,31.0,31.0,-0.23689,-0.06805,0.16884,-0.15247,0.06884,10.2671,-0.55461,-0.55461,1.09294,1.09293,0.30493,261.2174,261.2175,95.8057,95.8122,2.3642,2.36423,2.27877,2.27879,54.6865688319428,54.9155080379865,50.0431632556526,42.0965803437798,32.7356216163905,96.801735877407,51.7507560082763,6.50319179573275,184.013257575839,4433.466,27.8196457939492,65.99508,3.37302777777778
pp000091-Pd_2_SPE,-2774.28855137,0.005053430000316439,3.1710273251985654,0.0047382780057816706,0.0003635996467528398,32.0,32.0,-0.23556,-0.06923,0.16633,-0.152395,0.06981,10.3986,-0.55508,-0.56055,1.09281,1.0834,0.30883,255.4449,245.8882,127.0711,128.908,2.36625,2.36042,2.2818,2.27654,54.9361218712753,55.1998634473341,50.3242171486235,42.129008118282,32.7184723020784,94.8660477855304,52.4351424478752,6.58919433216716,185.583144048916,4246.879,28.5096370088242,66.18309,3.38330555555556
pp000091-Pd_3_SPE,-2774.29360234,2.4600003598607145e-06,0.0015436502258125984,0.9973980077094691,0.07653699568337642,33.0,33.0,-0.23689,-0.06805,0.16884,-0.15247,0.06884,10.2674,-0.55462,-0.55461,1.09293,1.09293,0.30493,261.2195,261.2211,95.7907,95.8215,2.36421,2.36422,2.27879,2.27879,54.6921558402861,54.9015424244305,50.0425719781779,42.0922717583564,32.7333445290129,96.7996626877424,51.8144198631227,6.51119203168013,184.159257209121,4111.08,27.699647321797,68.48683,3.49880555555556
pp000091-Pd_4_SPE,-2774.29360046,4.340000032243552e-06,0.0027233500202328287,0.9954140589898993,0.07638475407730538,34.0,34.0,-0.23689,-0.06806,0.16883,-0.152475,0.06885,10.2673,-0.55459,-0.55463,1.09296,1.0929,0.30494,261.2089,261.2263,95.7719,95.8072,2.36422,2.36423,2.27878,2.27879,54.6902935041716,54.9019303581404,50.0337028160575,42.0893237788562,32.7355504574099,96.8016274342073,51.8144198631227,6.51119203168013,184.159257209121,4151.411,27.7396468125144,65.5043,3.34819444444444
pp000091-Pd_5_SPE,-2774.29360202,2.780000158963958e-06,0.0017444500997498835,0.9970600354351341,0.07651106081855623,35.0,35.0,-0.23689,-0.06806,0.16883,-0.152475,0.06885,10.2674,-0.5546,-0.55462,1.09295,1.09292,0.30493,261.2186,261.2262,95.8118,95.7995,2.36422,2.36422,2.27878,2.27879,54.6912246722288,54.90348209298,50.0419807007032,42.0949929702027,32.7364043651765,96.7992504651147,51.8780837179691,6.51919226762752,184.305263597401,4272.316,27.7396468125144,68.34323,3.49122222222222
pp000091-Pd_6_SPE,-2774.29360077,4.030000127386302e-06,0.0025288250799349044,0.9957409275052868,0.07640983687670728,36.0,36.0,-0.23689,-0.06806,0.16883,-0.152475,0.06885,10.2675,-0.55461,-0.55461,1.09294,1.09292,0.30493,261.216,261.224,95.7794,95.8269,2.36421,2.36423,2.27879,2.2788,54.7145038736591,54.9236546458941,50.0465138280092,42.0959000408182,32.7346965496434,96.7993229981759,51.8223778449785,6.51219206117356,184.177507633363,3224.41,27.729646939835,67.15886,3.43186111111111
